LEPR	activates	ADRB2
gallamine	blocks	bradykinin
Cdc42	signals	NF-kappaB
COXIV	drug_target	tumor
Six2	role_in_disease_pathogenesis	FSGS
miR-183	promotes_progression	diabetes
procaine	inhibits	MAO
HIF-1a	increases_expression	PBF
MgCl2	activates	cPLA2
CDH3	activates	CNGB3
FAZF	increases_expression	hK7
phosphoenolpyruvate	treatment	myopathy
H-2d	causal_mutation	leukemia
ECP	activates	EDN
PRDX3	diagnostic_biomarker	PCOS
HLA-E	mutations_affecting_disease	RA
SIX1	activates	OSR1
TOP2A	binds	RNASEH2A
histidase	diagnostic_biomarker	hypoxia
dexmedetomidine	inhibits	MRI
LPC	increases_expression	PLC-gamma1
anastrozole	side_effect	hypercholesterolemia
LPA2	activates	TRIP6
inositol_phosphates	progression_biomarker	ototoxicity
CAPE	binds	MYCN
NLK	affects_expression	NLK
LMNA	drug_target	scleroderma
HuR	promotes_progression	glioma
miR-10a	overexpression	carcinoma
GSK-3b	role_in_disease_pathogenesis	nephropathy
PAX6	role_in_disease_pathogenesis	RPE
carbon_monoxide	side_effect	Zellweger_syndrome
Reg_IV	mutations_affecting_disease	gastric_cancer
c-Myb	causal_mutation	breast_cancer
